sample_type,data_state,data_state_label,goal,availability_status,selectable,note
Bacterial isolate,genome_assembly,Genome assembly FASTA,Whole genome characterization,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,Species identification,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,Antimicrobial resistance detection,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,Virulence profiling,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,MLST / strain typing,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,Prophage detection,ready,True,
Bacterial isolate,genome_assembly,Genome assembly FASTA,Plasmid detection,ready,True,
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Taxonomic profiling,needs_input,False,The current curated route starts from sequencing reads. Choose Raw sequencing reads if those files are available.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,MAG reconstruction,needs_input,False,"Contigs are available, but the curated MAG route also needs the original reads to estimate coverage for binning."
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Functional profiling,needs_input,False,The current curated route starts from sequencing reads. Choose Raw sequencing reads if those files are available.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Pathway analysis,needs_input,False,The current curated route starts from sequencing reads. Choose Raw sequencing reads if those files are available.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Antibiotic resistance profiling,needs_input,False,The current curated route starts from sequencing reads. Choose Raw sequencing reads if those files are available.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Virulence profiling,ready,True,Ready from assembled metagenome contigs.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Viral analysis,ready,True,Ready from assembled metagenome contigs.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Plasmid analysis,ready,True,Ready from assembled metagenome contigs.
Metagenome,metagenome_contigs,Assembled metagenome contigs FASTA,Strain-level phylogenomics,needs_input,False,The current curated route starts from sequencing reads. Choose Raw sequencing reads if those files are available.
