sample_type,sequencing,read_type,goal,reference_gated,strategy_id,workflow_name,route_kind,build_ok,dependency_valid,step_count,tool_candidates,compatible_tools,incompatible_tools,zero_compatible_steps,insufficient_parallel_steps,status,detail
Bacterial isolate,Illumina,Paired-end,Whole genome characterization,False,bacterial_illumina_wgs,Bacterial isolate — Illumina WGS,curated_static,True,True,5,8,8,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Antimicrobial resistance detection,False,bacterial_illumina_amr,Bacterial isolate — Illumina antimicrobial resistance analysis,curated_static,True,True,5,9,9,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Virulence profiling,False,bacterial_illumina_virulence,Bacterial isolate — Illumina virulence profiling,curated_static,True,True,5,8,8,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,MLST / strain typing,False,bacterial_illumina_mlst,Bacterial isolate — Illumina MLST and strain typing,curated_static,True,True,5,8,8,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Prophage detection,False,bacterial_illumina_prophage,Bacterial isolate — Illumina prophage detection,curated_static,True,True,6,10,10,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Pangenome analysis,False,bacterial_illumina_pangenome,Bacterial isolates — Illumina pangenome analysis,curated_static,True,True,6,10,10,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Phylogenomics,False,bacterial_illumina_phylogenomics,Bacterial isolates — Illumina phylogenomics,curated_static,True,True,7,11,11,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Species identification,False,bacterial_illumina_species_identification_gtdbtk,Bacterial isolate — genome taxonomy with GTDB-Tk,curated_static,True,True,5,7,7,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Species identification,False,bacterial_illumina_species_identification_fastani,Bacterial isolate — reference ANI confirmation with FastANI,curated_static,True,True,5,7,7,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Plasmid detection,False,bacterial_illumina_plasmid_mobsuite,Bacterial isolate — plasmid reconstruction and typing (MOB-suite),curated_static,True,True,5,7,7,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Plasmid detection,False,bacterial_illumina_plasmid_replicon,Bacterial isolate — plasmid replicon screening (PlasmidFinder),curated_static,True,True,5,7,7,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Plasmid detection,False,bacterial_illumina_plasmid_genomad,Bacterial isolate — plasmid sequence prediction (geNomad),curated_static,True,True,5,7,7,0,0,0,PASS,
Bacterial isolate,Illumina,Paired-end,Variant analysis,True,bacterial_illumina_variant_analysis,Bacterial isolate — Illumina variant analysis,curated_static,True,True,6,8,8,0,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Whole genome characterization,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_wgs,Bacterial isolate — Illumina WGS — single-end,dynamic,True,True,5,8,7,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Antimicrobial resistance detection,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_amr,Bacterial isolate — Illumina antimicrobial resistance analysis — single-end,dynamic,True,True,5,9,8,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Virulence profiling,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_virulence,Bacterial isolate — Illumina virulence profiling — single-end,dynamic,True,True,5,8,7,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,MLST / strain typing,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_mlst,Bacterial isolate — Illumina MLST and strain typing — single-end,dynamic,True,True,5,8,7,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Prophage detection,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_prophage,Bacterial isolate — Illumina prophage detection — single-end,dynamic,True,True,6,10,9,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Species identification,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_species_identification_gtdbtk,Bacterial isolate — genome taxonomy with GTDB-Tk — single-end,dynamic,True,True,5,7,6,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Species identification,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_species_identification_fastani,Bacterial isolate — reference ANI confirmation with FastANI — single-end,dynamic,True,True,5,7,6,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Plasmid detection,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_plasmid_mobsuite,Bacterial isolate — plasmid reconstruction and typing (MOB-suite) — single-end,dynamic,True,True,5,7,6,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Plasmid detection,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_plasmid_replicon,Bacterial isolate — plasmid replicon screening (PlasmidFinder) — single-end,dynamic,True,True,5,7,6,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Plasmid detection,False,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_plasmid_genomad,Bacterial isolate — plasmid sequence prediction (geNomad) — single-end,dynamic,True,True,5,7,6,1,0,0,PASS,
Bacterial isolate,Illumina,Single-end,Variant analysis,True,dynamic__bacterial_isolate__illumina__single_end__bacterial_illumina_variant_analysis,Bacterial isolate — Illumina variant analysis — single-end,dynamic,True,True,6,8,8,0,0,0,PASS,
Bacterial isolate,Oxford Nanopore,Long reads,Whole genome characterization,False,bacterial_nanopore_wgs,Bacterial isolate — Oxford Nanopore WGS,curated_static,True,True,5,8,8,0,0,0,PASS,
